conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username
1928789301879517516,Sun Jun 01 09:50:13 +0000 2025,1,@V3g3L Bill Gates kan baru dateng ke Indo bawa Vaksin mungkin vaksin nya di jual jadi KEMENKES keluarin surat edaran Covid,1929113244389511300,,P3gEl,in,,0,0,0,https://x.com/undefined/status/1929113244389511300,351353592,
1929112033322049609,Sun Jun 01 09:45:24 +0000 2025,1,Bill Gates dan Bisnis Vaksin Covid-19: Sumbang Rp2 6 Triliun tapi Minta Uji Vaksin TBC pada Rakyat Indonesia https://t.co/k5rm4NZHjp #Vaksin #Covid #Covid19,1929112033322049609,,,in,,0,1,3,https://x.com/undefined/status/1929112033322049609,1476693997,
1928817390604648878,Sun Jun 01 09:39:58 +0000 2025,0,@AirinDatangLagi Mgkn salah satu cara agar rakyat mau utk di vaksin lagi dengan vaksin yg sudah ditawarkan bill gates kmrn.,1929110666792902827,,AirinDatangLagi,in,,0,0,0,https://x.com/undefined/status/1929110666792902827,1603934013726416896,
1929105370234118147,Sun Jun 01 09:18:55 +0000 2025,475,Kalau Butuh 2000 orang untuk Uji Coba Fucksin TBC Milik Si Bill Gates Jahanam itu Maka Langsung Saja Suntikan Ke Wakil Rakyat yang menjadi anggota DPR DPD DPRD serta sekalian juga suntikan Muncung Budi Gunadi Sadikin beserta keluarganya untuk ujicoba vaksin TBC Bill Gates https://t.co/3BA0nbY0Jd,1929105370234118147,https://pbs.twimg.com/media/GsWPHEWbkAAuhPp.jpg,,in,,11,64,211,https://x.com/undefined/status/1929105370234118147,75519742,
1928803112321417593,Sun Jun 01 09:01:51 +0000 2025,0,@Boediantar4 Anjing²nya bill gates gk akan maksa tp mrk akan mensyaratkan vaksin dlm keperluan bepergian urusan rumah sakit perbankan sekolah dn urusan administrasi.,1929101073232322888,,Boediantar4,in,,0,0,0,https://x.com/undefined/status/1929101073232322888,1476422972,
1928789301879517516,Sun Jun 01 08:00:59 +0000 2025,0,@V3g3L COVIDIOT cuma kedok Campur tangan Bill Gates tentang vaksin yang kemaren Najis Bangsa sendiri jadi tumbal percobaan,1929085756070343005,,P3gEl,in,,0,0,0,https://x.com/undefined/status/1929085756070343005,1509208191862964224,
1928789301879517516,Sun Jun 01 07:35:07 +0000 2025,0,@V3g3L Biar apa? Biar kita di vaksin lg sama vaksin milik bill gates,1929079244434309385,,P3gEl,in,,0,0,0,https://x.com/undefined/status/1929079244434309385,1024944631656501248,
1928789301879517516,Sun Jun 01 07:08:36 +0000 2025,1,@V3g3L Vaksin TBX ga laku tapi bill gates udh cair jadinya covid 19 di buat lagi mayan kan buat dikorupsi,1929072574824329697,,P3gEl,in,,0,0,0,https://x.com/undefined/status/1929072574824329697,1321774693259472897,
1929067571053281326,Sun Jun 01 06:48:43 +0000 2025,1,Bang bill Gates bang bill Gates vaksin nya belum abis gmn kalo kita pake formasi biasa seperti ini mungkin,1929067571053281326,,,in,,1,0,0,https://x.com/undefined/status/1929067571053281326,1566347334015152130,
1928789301879517516,Sun Jun 01 05:45:07 +0000 2025,0,@V3g3L @KemenkesRI Sama Menteri nya jadi antek2nya Bill Gates. Kenapa Vaksin TBC tak berhasil ? Dosa kalian selamat ini tak termaafkan. Turun jadi Menteri malah Bela asing daripada rakyat sendiri ..siap2 karma menagih .wujud. Aamiin yra https://t.co/CYLQCOY1gk,1929051562699272661,https://pbs.twimg.com/tweet_video_thumb/GsVeKtVbUAAwQrP.jpg,P3gEl,in,,0,0,0,https://x.com/undefined/status/1929051562699272661,62468709,
